StopID,Bench,Shelter,routes,Direction,Pole_Locat,Sidewalk,Trans_P,x,y
19400, , ,24,outbound,forward facing back of sidewalk,sidewalk, ,1433899.093570001423359,510988.844684996292926
19410,Bench, ,24,inbound,forward facing back of sidewalk,sidewalk, ,1433821.087164336349815,511304.106521651323419
19420, , ,24,inbound,forward facing back of sidewalk,sidewalk, ,1434109.179107835283503,510763.157800413144287
19430, , ,24,outbound,rear facing back of curb,sidewalk, ,1434288.179734093369916,510428.134520324645564
19440, ,Shelter,24,inbound,rear facing back of curb,sidewalk, ,1434419.057097009383142,510140.987128751701675
19530,Bench, ,13,outbound,forward facing back of curb,sidewalk, ,1454389.418402917915955,564132.759722416056320
19531,Bench, ,13,inbound,forward facing back of curb,sidewalk, ,1454141.513386925915256,564090.733887828188017
19535,Bench, ,13,inbound,forward facing back of curb,sidewalk, ,1452788.121736757690087,563582.432082910323516
19536,Bench, ,13,outbound,forward facing back of curb,sidewalk, ,1452802.496708018472418,563504.267869153874926
19560, , ,13,outbound,forward facing back of curb,sidewalk, ,1455987.928329252172261,564810.991633662022650
19570,Bench, ,13,inbound,forward facing back of curb,sidewalk, ,1456140.038589337142184,564854.063397930236533
19622, , ,26,inbound,forward facing edge of pavement, ,transfer point,1449208.563935256563127,554946.746598403784446
19630, , ,26,outbound,forward facing edge of pavement, , ,1448536.114164671394974,556578.007771576638333
19640, , ,26,inbound,forward facing back of sidewalk,sidewalk, ,1448584.144580417079851,556527.972110504517332
19650, , ,26,outbound,forward facing edge of pavement, , ,1447802.089057928416878,557336.080730495043099
19660, , ,26,inbound,forward facing edge of pavement,sidewalk, ,1447717.056091509293765,557434.857107753166929
19670, , ,26,outbound,forward facing edge of pavement, , ,1447608.142923511099070,557661.845826985314488
19740, , ,235,inbound,forward facing back of curb,sidewalk, ,1426997.395431167678908,536720.314547415822744
19800, , ,235,outbound,forward facing back of curb,sidewalk, ,1427700.163382595637813,536679.075128586497158
19810, , ,235,outbound,forward facing back of curb,sidewalk, ,1427193.021024172659963,536810.085365247097798
19835,Bench, ,235,not applicable,forward facing back of curb,sidewalk, ,1428121.506699999561533,536637.819633670616895
19850, , ,235,inbound,forward facing back of curb,sidewalk,transfer point,1427250.957260004710406,536808.965944902622141
19860, , ,3,outbound,forward facing edge of pavement, , ,1456811.729175083572045,551577.265804582973942
19870, , ,3,inbound,forward facing back of sidewalk,sidewalk, ,1456827.407949499087408,551487.796495323884301
19890, , ,3,outbound,forward facing back of curb,sidewalk,transfer point,1452996.167908583534881,553704.832087481627241
19900, , ,3,inbound,forward facing back of curb, ,transfer point,1452853.944111668039113,553683.069663836155087
19905, , ,3,outbound,forward facing back of sidewalk,sidewalk,transfer point,1452420.956460582558066,553696.164453912992030
19910, , ,3,inbound,forward facing back of curb,sidewalk, ,1452154.002926252083853,553646.134698336827569
19970, , ,26,outbound,forward facing back of sidewalk,sidewalk, ,1451410.119571499293670,549493.819512163638137
19990, , ,26,outbound,forward facing back of curb,sidewalk, ,1450334.924871509661898,549918.885263086413033
20010, , ,26,outbound,forward facing back of sidewalk,sidewalk,transfer point,1449731.782377009978518,550179.061579994973727
20030, , ,26,outbound,forward facing back of sidewalk,sidewalk, ,1448427.168516420293599,550612.826460500014946
20040, , ,26,inbound,forward facing back of sidewalk,sidewalk, ,1448449.071031666127965,550522.144555247505195
20050, , ,26,outbound,forward facing back of sidewalk,sidewalk, ,1447860.030871176160872,551072.939713497413322
20060, , ,26,inbound,forward facing back of sidewalk,sidewalk, ,1447865.071543506113812,551022.976558822556399
20070, , ,26,inbound,forward facing back of sidewalk,sidewalk, ,1447491.936463005375117,551269.449491071980447
20080, , ,26,outbound,forward facing back of sidewalk,sidewalk, ,1447254.227948926389217,551492.288940408383496
20281,Bench, ,235,outbound,forward facing back of curb,sidewalk, ,1426188.121459183515981,539269.492191828205250
20282,Bench, ,235,inbound,forward facing back of curb,sidewalk, ,1426133.628457925515249,539324.784732166910544
20380, , ,39,inbound,forward facing back of curb, ,transfer point,1459444.931585841346532,532328.200956324115396
20400, , ,39,inbound,forward facing back of curb, , ,1459829.174583753803745,532918.892688321648166
20410, , ,39,inbound,forward facing back of curb, , ,1460188.137776587158442,533434.700383755029179
20430,Bench, ,30,inbound,forward facing back of curb,sidewalk, ,1431206.070412761997432,545414.128196509554982
20480, , ,19,outbound,forward facing back of curb,sidewalk, ,1447055.077756679849699,534505.923963071545586
20490, , ,19,inbound,forward facing back of curb,sidewalk, ,1447154.084776513511315,534576.150856734835543
20520, , ,19,outbound,rear facing back of curb,sidewalk, ,1446704.993483087746426,533212.950827252119780
20530, , ,19,inbound,forward facing back of sidewalk,sidewalk, ,1446733.116458333330229,533198.957744994666427
20540, ,Shelter,19,outbound,forward facing back of curb,sidewalk, ,1446752.175475337775424,532635.119633825961500
20550,Bench, ,19,inbound,forward facing back of sidewalk,sidewalk, ,1446781.670495084486902,532726.663414003909566
20560, , ,19,inbound,forward facing back of sidewalk,sidewalk, ,1446851.154608094366267,532030.841970998793840
20570, , ,19,outbound,forward facing back of curb,sidewalk, ,1446820.118580929236487,532032.877071911003441
20580, , ,19,outbound,rear facing back of curb,sidewalk, ,1446375.900965429143980,529797.068879499449395
20590, , ,19,outbound,forward facing back of sidewalk,sidewalk, ,1446721.342859839787707,530694.448974499129690
20600, , ,19,inbound,forward facing back of sidewalk,sidewalk, ,1446799.996573918499053,530778.159108912223019
20630, , ,19,inbound,forward facing back of curb,sidewalk, ,1446394.930454917950556,529775.965247162152082
20640, , ,19,outbound,forward facing back of sidewalk,sidewalk, ,1446379.190985092427582,528468.749029594473541
20650, ,Shelter,19,inbound,forward facing back of curb,sidewalk, ,1446400.070864595472813,528754.832118827034719
20660, ,Shelter,19,inbound,forward facing back of sidewalk,sidewalk, ,1446423.166618919232860,527910.998832751181908
20670, , ,19,inbound,forward facing back of sidewalk,sidewalk, ,1446453.892279258463532,527571.899445329792798
20680, , ,19,outbound,forward facing back of curb, , ,1446408.993418922182173,527503.940919817425311
20690, ,Shelter,19,outbound,forward facing back of sidewalk,sidewalk, ,1446550.937360757263377,526783.108371988404542
20700, , ,19,inbound,forward facing back of sidewalk,sidewalk, ,1446579.942224002908915,526800.039112408878282
20710, ,Shelter,19,inbound,forward facing back of sidewalk,sidewalk, ,1446818.106445839861408,525853.913380000041798
20720,Bench, ,19,outbound,forward facing back of sidewalk,sidewalk, ,1446844.047338837059215,525402.062577658565715
20760, ,Shelter,19,inbound,forward facing back of sidewalk,sidewalk, ,1446918.895942425122485,523982.865940989810042
20770, , ,19,outbound,forward facing back of curb,sidewalk, ,1446821.751451679971069,523597.739742750010919
20780, , ,19,inbound,forward facing back of sidewalk,sidewalk, ,1446853.007294676499441,523030.037137993436772
